"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Omzet ongecorrigeerd/Indexcijfers/Waarde (2015=100)";"Omzet ongecorrigeerd/Indexcijfers/Volume (2015=100)"
"47528 Bouwmarkten";"2007 augustus";"   133.1";"   143.2"
"47528 Bouwmarkten";"2007 september";"   115.3";"   123.5"
"47528 Bouwmarkten";"2007 oktober";"   127.2";"   135.9"
"47528 Bouwmarkten";"2007 november";"   124.2";"   132.9"
"47528 Bouwmarkten";"2007 december";"   131.3";"   140.0"
"47528 Bouwmarkten";"2008 januari";"   113.7";"   120.8"
"47528 Bouwmarkten";"2008 februari";"   115.3";"   121.5"
"47528 Bouwmarkten";"2008 maart";"   129.6";"   136.2"
"47528 Bouwmarkten";"2008 april";"   143.8";"   150.3"
"47528 Bouwmarkten";"2008 mei";"   156.1";"   162.8"
"47528 Bouwmarkten";"2008 juni";"   127.7";"   133.4"
"47528 Bouwmarkten";"2008 juli";"   139.5";"   146.0"
"47528 Bouwmarkten";"2008 augustus";"   129.5";"   135.5"
"47528 Bouwmarkten";"2008 september";"   116.5";"   121.5"
"47528 Bouwmarkten";"2008 oktober";"   126.8";"   131.7"
"47528 Bouwmarkten";"2008 november";"   116.2";"   121.3"
"47528 Bouwmarkten";"2008 december";"   126.5";"   133.3"
"47528 Bouwmarkten";"2009 januari";"   106.2";"   112.6"
"47528 Bouwmarkten";"2009 februari";"   102.2";"   108.0"
"47528 Bouwmarkten";"2009 maart";"   120.6";"   126.9"
"47528 Bouwmarkten";"2009 april";"   140.4";"   148.9"
"47528 Bouwmarkten";"2009 mei";"   138.8";"   144.8"
"47528 Bouwmarkten";"2009 juni";"   122.4";"   129.0"
"47528 Bouwmarkten";"2009 juli";"   132.0";"   138.8"
"47528 Bouwmarkten";"2009 augustus";"   115.0";"   122.0"
"47528 Bouwmarkten";"2009 september";"   109.5";"   115.2"
"47528 Bouwmarkten";"2009 oktober";"   112.8";"   118.1"
"47528 Bouwmarkten";"2009 november";"   101.5";"   105.9"
"47528 Bouwmarkten";"2009 december";"   118.4";"   123.8"
"47528 Bouwmarkten";"2010 januari";"    93.9";"    97.6"
"47528 Bouwmarkten";"2010 februari";"    90.4";"    93.5"
"47528 Bouwmarkten";"2010 maart";"   111.2";"   115.1"
"47528 Bouwmarkten";"2010 april";"   137.1";"   142.6"
"47528 Bouwmarkten";"2010 mei";"   132.1";"   138.5"
"47528 Bouwmarkten";"2010 juni";"   117.6";"   122.7"
"47528 Bouwmarkten";"2010 juli";"   126.6";"   132.6"
"47528 Bouwmarkten";"2010 augustus";"   112.4";"   117.6"
"47528 Bouwmarkten";"2010 september";"   106.4";"   110.1"
"47528 Bouwmarkten";"2010 oktober";"   110.0";"   113.0"
"47528 Bouwmarkten";"2010 november";"   105.8";"   109.2"
"47528 Bouwmarkten";"2010 december";"   115.9";"   119.2"
"47528 Bouwmarkten";"2011 januari";"    92.8";"    94.7"
"47528 Bouwmarkten";"2011 februari";"    95.8";"    97.6"
"47528 Bouwmarkten";"2011 maart";"   119.3";"   120.7"
"47528 Bouwmarkten";"2011 april";"   140.5";"   142.0"
"47528 Bouwmarkten";"2011 mei";"   126.7";"   128.1"
"47528 Bouwmarkten";"2011 juni";"   119.9";"   121.6"
"47528 Bouwmarkten";"2011 juli";"   120.3";"   121.2"
"47528 Bouwmarkten";"2011 augustus";"   112.2";"   113.7"
"47528 Bouwmarkten";"2011 september";"   103.1";"   103.3"
"47528 Bouwmarkten";"2011 oktober";"   108.4";"   108.6"
"47528 Bouwmarkten";"2011 november";"   102.0";"   102.1"
"47528 Bouwmarkten";"2011 december";"   118.9";"   119.0"
"47528 Bouwmarkten";"2012 januari";"    93.6";"    93.7"
"47528 Bouwmarkten";"2012 februari";"    88.8";"    88.4"
"47528 Bouwmarkten";"2012 maart";"   115.2";"   114.4"
"47528 Bouwmarkten";"2012 april";"   118.9";"   118.6"
"47528 Bouwmarkten";"2012 mei";"   123.6";"   122.7"
"47528 Bouwmarkten";"2012 juni";"   111.7";"   110.5"
"47528 Bouwmarkten";"2012 juli";"   116.4";"   116.1"
"47528 Bouwmarkten";"2012 augustus";"   107.8";"   107.2"
"47528 Bouwmarkten";"2012 september";"   102.1";"   100.6"
"47528 Bouwmarkten";"2012 oktober";"    97.9";"    96.7"
"47528 Bouwmarkten";"2012 november";"    91.4";"    91.1"
"47528 Bouwmarkten";"2012 december";"   106.5";"   106.6"
"47528 Bouwmarkten";"2013 januari";"    89.6";"    88.5"
"47528 Bouwmarkten";"2013 februari";"    79.3";"    78.3"
"47528 Bouwmarkten";"2013 maart";"    92.2";"    91.1"
"47528 Bouwmarkten";"2013 april";"   116.4";"   115.2"
"47528 Bouwmarkten";"2013 mei";"   115.0";"   114.3"
"47528 Bouwmarkten";"2013 juni";"   103.8";"   103.0"
"47528 Bouwmarkten";"2013 juli";"   113.1";"   112.9"
"47528 Bouwmarkten";"2013 augustus";"    98.2";"    98.2"
"47528 Bouwmarkten";"2013 september";"    91.7";"    91.8"
"47528 Bouwmarkten";"2013  oktober";"    91.5";"    91.9"
"47528 Bouwmarkten";"2013  november";"    90.5";"    90.3"
"47528 Bouwmarkten";"2013 december ";"   100.1";"   100.2"
"47528 Bouwmarkten";"2014 januari";"    89.1";"    89.3"
"47528 Bouwmarkten";"2014 februari";"    83.4";"    83.4"
"47528 Bouwmarkten";"2014 maart";"   103.9";"   102.8"
"47528 Bouwmarkten";"2014 april";"   117.5";"   116.8"
"47528 Bouwmarkten";"2014 mei";"   114.0";"   113.1"
"47528 Bouwmarkten";"2014 juni";"   102.5";"   102.6"
"47528 Bouwmarkten";"2014 juli";"   110.4";"   110.3"
"47528 Bouwmarkten";"2014 augustus";"   101.7";"   103.0"
"47528 Bouwmarkten";"2014 september";"    95.2";"    95.1"
"47528 Bouwmarkten";"2014 oktober";"    95.5";"    96.0"
"47528 Bouwmarkten";"2014 november";"    90.7";"    91.4"
"47528 Bouwmarkten";"2014 december";"   102.8";"   103.9"
"47528 Bouwmarkten";"2015 januari";"    86.9";"    87.1"
"47528 Bouwmarkten";"2015 februari";"    81.1";"    81.4"
"47528 Bouwmarkten";"2015 maart";"    96.3";"    95.9"
"47528 Bouwmarkten";"2015 april";"   114.9";"   115.0"
"47528 Bouwmarkten";"2015 mei";"   116.8";"   117.7"
"47528 Bouwmarkten";"2015 juni";"   103.9";"   102.8"
"47528 Bouwmarkten";"2015 juli";"   111.4";"   110.8"
"47528 Bouwmarkten";"2015 augustus";"    98.3";"    98.8"
"47528 Bouwmarkten";"2015 september";"    95.1";"    95.1"
"47528 Bouwmarkten";"2015 oktober";"    99.8";"    99.2"
"47528 Bouwmarkten";"2015 november";"    90.6";"    91.1"
"47528 Bouwmarkten";"2015 december";"   104.9";"   105.0"
"47528 Bouwmarkten";"2016 januari";"    86.8";"    86.8"
"47528 Bouwmarkten";"2016 februari";"    85.4";"    86.1"
"47528 Bouwmarkten";"2016 maart";"   100.6";"   100.8"
"47528 Bouwmarkten";"2016 april";"   120.9";"   120.2"
"47528 Bouwmarkten";"2016 mei";"   120.4";"   121.2"
"47528 Bouwmarkten";"2016 juni";"   109.0";"   109.2"
"47528 Bouwmarkten";"2016 juli";"   117.0";"   118.4"
"47528 Bouwmarkten";"2016 augustus";"   105.5";"   107.0"
"47528 Bouwmarkten";"2016 september";"   100.3";"   101.4"
"47528 Bouwmarkten";"2016 oktober";"   103.5";"   104.5"
"47528 Bouwmarkten";"2016 november";"    97.8";"    99.0"
"47528 Bouwmarkten";"2016 december";"   107.8";"   109.2"
"47528 Bouwmarkten";"2017 januari";"    91.8";"    92.6"
"47528 Bouwmarkten";"2017 februari";"    88.3";"    88.3"
"47528 Bouwmarkten";"2017 maart";"   111.0";"   109.6"
"47528 Bouwmarkten";"2017 april";"   126.8";"   127.2"
"47528 Bouwmarkten";"2017 mei";"   124.3";"   124.1"
"47528 Bouwmarkten";"2017 juni";"   121.8";"   122.1"
"47528 Bouwmarkten";"2017 juli";"   121.9";"   122.8"
"47528 Bouwmarkten";"2017 augustus";"   110.9";"   112.5"
"47528 Bouwmarkten";"2017 september";"   106.2";"   108.2"
"47528 Bouwmarkten";"2017 oktober";"   105.5";"   107.3"
"47528 Bouwmarkten";"2017 november";"   105.3";"   106.3"
"47528 Bouwmarkten";"2017 december";"   111.7";"   113.8"
"47528 Bouwmarkten";"2018 januari";"    98.3";"   100.5"
"47528 Bouwmarkten";"2018 februari";"    90.5";"    92.1"
"47528 Bouwmarkten";"2018 maart";"   110.8";"   111.5"
"47528 Bouwmarkten";"2018 april";"   135.1";"   137.1"
"47528 Bouwmarkten";"2018 mei";"   136.0";"   140.6"
"47528 Bouwmarkten";"2018 juni";"   122.2";"   122.2"
"47528 Bouwmarkten";"2018 juli";"   123.0";"   124.5"
"47528 Bouwmarkten";"2018 augustus";"   111.6";"   114.7"
"47528 Bouwmarkten";"2018 september";"   110.2";"   113.1"
"47528 Bouwmarkten";"2018 oktober";"   113.0";"   116.6"
"47528 Bouwmarkten";"2018 november";"   107.3";"   110.0"
"47528 Bouwmarkten";"2018 december";"   113.7";"   116.7"
"47528 Bouwmarkten";"2019 januari";"   105.9";"   109.3"
"47528 Bouwmarkten";"2019 februari";"    98.0";"    99.8"
"47528 Bouwmarkten";"2019 maart";"   114.7";"   116.1"
"47528 Bouwmarkten";"2019 april";"   136.6";"   138.2"
"47528 Bouwmarkten";"2019 mei";"   136.0";"   138.1"
"47528 Bouwmarkten";"2019 juni";"   129.9";"   133.7"
"47528 Bouwmarkten";"2019 juli";"   129.8";"   131.6"
"47528 Bouwmarkten";"2019 augustus";"   117.4";"   119.9"
"47528 Bouwmarkten";"2019 september";"   109.8";"   112.9"
"47528 Bouwmarkten";"2019 oktober";"   114.0";"   117.5"
"47528 Bouwmarkten";"2019 november";"   111.6";"   113.9"
"47528 Bouwmarkten";"2019 december";"   116.9";"   118.9"
"47528 Bouwmarkten";"2020 januari*";"   105.9";"   108.2"
"47528 Bouwmarkten";"2020 februari*";"   106.9";"   108.0"
"47528 Bouwmarkten";"2020 maart*";"   144.1";"   145.9"
"47528 Bouwmarkten";"2020 april*";"   186.8";"   188.6"
"47528 Bouwmarkten";"2020 mei*";"   187.0";"   185.4"
"47528 Bouwmarkten";"2020 juni*";"   162.7";"   161.6"
"47528 Bouwmarkten";"2020 juli*";"   160.3";"   160.1"
"47528 Bouwmarkten";"2020 augustus*";"   133.7";"   134.3"
"47528 Bouwmarkten";"2020 september*";"   131.7";"   133.2"
"47528 Bouwmarkten";"2020 oktober*";"   142.9";"   145.4"
"47528 Bouwmarkten";"2020 november*";"   135.2";"   137.0"
"47528 Bouwmarkten";"2020 december*";"   104.7";"   105.3"
"47528 Bouwmarkten";"2021 januari*";"    58.9";"    58.6"
"47528 Bouwmarkten";"2021 februari*";"    68.1";"    68.1"
"47528 Bouwmarkten";"2021 maart*";"    98.2";"    97.1"
"4759 Winkels overige huishoudartikelen";"2005 januari";"   110.7";"   117.8"
"4759 Winkels overige huishoudartikelen";"2005 februari";"   105.7";"   112.2"
"4759 Winkels overige huishoudartikelen";"2005 maart";"   116.4";"   123.4"
"4759 Winkels overige huishoudartikelen";"2005 april";"   110.7";"   117.2"
"4759 Winkels overige huishoudartikelen";"2005 mei";"   109.2";"   115.7"
"4759 Winkels overige huishoudartikelen";"2005 juni";"   111.6";"   118.9"
"4759 Winkels overige huishoudartikelen";"2005 juli";"   114.9";"   122.7"
"4759 Winkels overige huishoudartikelen";"2005 augustus";"   107.3";"   114.6"
"4759 Winkels overige huishoudartikelen";"2005 september";"   112.2";"   119.0"
"4759 Winkels overige huishoudartikelen";"2005 oktober";"   122.4";"   130.1"
"4759 Winkels overige huishoudartikelen";"2005 november";"   131.4";"   139.9"
"4759 Winkels overige huishoudartikelen";"2005 december";"   149.0";"   159.0"
"4759 Winkels overige huishoudartikelen";"2006 januari";"   119.2";"   127.2"
"4759 Winkels overige huishoudartikelen";"2006 februari";"   109.6";"   116.9"
"4759 Winkels overige huishoudartikelen";"2006 maart";"   127.2";"   135.1"
"4759 Winkels overige huishoudartikelen";"2006 april";"   118.7";"   125.5"
"4759 Winkels overige huishoudartikelen";"2006 mei";"   122.8";"   130.3"
"4759 Winkels overige huishoudartikelen";"2006 juni";"   119.8";"   127.3"
"4759 Winkels overige huishoudartikelen";"2006 juli";"   109.7";"   117.1"
"4759 Winkels overige huishoudartikelen";"2006 augustus";"   119.1";"   127.2"
"4759 Winkels overige huishoudartikelen";"2006 september";"   118.1";"   125.7"
"4759 Winkels overige huishoudartikelen";"2006 oktober";"   126.7";"   134.6"
"4759 Winkels overige huishoudartikelen";"2006 november";"   133.8";"   142.0"
"4759 Winkels overige huishoudartikelen";"2006 december";"   147.7";"   157.1"
"4759 Winkels overige huishoudartikelen";"2007 januari";"   121.4";"   128.8"
"4759 Winkels overige huishoudartikelen";"2007 februari";"   112.1";"   118.4"
"4759 Winkels overige huishoudartikelen";"2007 maart";"   127.6";"   134.5"
"4759 Winkels overige huishoudartikelen";"2007 april";"   112.8";"   118.4"
"4759 Winkels overige huishoudartikelen";"2007 mei";"   124.5";"   130.4"
"4759 Winkels overige huishoudartikelen";"2007 juni";"   124.0";"   130.1"
"4759 Winkels overige huishoudartikelen";"2007 juli";"   121.6";"   128.1"
"4759 Winkels overige huishoudartikelen";"2007 augustus";"   118.4";"   124.2"
"4759 Winkels overige huishoudartikelen";"2007 september";"   119.0";"   124.7"
"4759 Winkels overige huishoudartikelen";"2007 oktober";"   133.4";"   138.9"
"4759 Winkels overige huishoudartikelen";"2007 november";"   139.2";"   144.6"
"4759 Winkels overige huishoudartikelen";"2007 december";"   151.1";"   156.9"
"4759 Winkels overige huishoudartikelen";"2008 januari";"   124.1";"   128.2"
"4759 Winkels overige huishoudartikelen";"2008 februari";"   118.4";"   121.7"
"4759 Winkels overige huishoudartikelen";"2008 maart";"   127.2";"   130.0"
"4759 Winkels overige huishoudartikelen";"2008 april";"   125.5";"   127.9"
"4759 Winkels overige huishoudartikelen";"2008 mei";"   124.8";"   127.2"
"4759 Winkels overige huishoudartikelen";"2008 juni";"   118.5";"   121.2"
"4759 Winkels overige huishoudartikelen";"2008 juli";"   126.0";"   128.9"
"4759 Winkels overige huishoudartikelen";"2008 augustus";"   120.4";"   122.4"
"4759 Winkels overige huishoudartikelen";"2008 september";"   118.9";"   120.4"
"4759 Winkels overige huishoudartikelen";"2008 oktober";"   134.6";"   135.6"
"4759 Winkels overige huishoudartikelen";"2008 november";"   132.6";"   133.6"
"4759 Winkels overige huishoudartikelen";"2008 december";"   145.5";"   146.5"
"4759 Winkels overige huishoudartikelen";"2009 januari";"   119.3";"   120.1"
"4759 Winkels overige huishoudartikelen";"2009 februari";"   110.8";"   111.2"
"4759 Winkels overige huishoudartikelen";"2009 maart";"   117.3";"   117.2"
"4759 Winkels overige huishoudartikelen";"2009 april";"   113.1";"   112.5"
"4759 Winkels overige huishoudartikelen";"2009 mei";"   113.5";"   113.0"
"4759 Winkels overige huishoudartikelen";"2009 juni";"   112.0";"   111.5"
"4759 Winkels overige huishoudartikelen";"2009 juli";"   118.0";"   117.9"
"4759 Winkels overige huishoudartikelen";"2009 augustus";"   105.8";"   105.8"
"4759 Winkels overige huishoudartikelen";"2009 september";"   111.3";"   111.2"
"4759 Winkels overige huishoudartikelen";"2009 oktober";"   126.6";"   126.2"
"4759 Winkels overige huishoudartikelen";"2009 november";"   122.0";"   121.3"
"4759 Winkels overige huishoudartikelen";"2009 december";"   139.3";"   138.1"
"4759 Winkels overige huishoudartikelen";"2010 januari";"   110.0";"   109.7"
"4759 Winkels overige huishoudartikelen";"2010 februari";"   103.1";"   102.6"
"4759 Winkels overige huishoudartikelen";"2010 maart";"   117.7";"   117.0"
"4759 Winkels overige huishoudartikelen";"2010 april";"   109.7";"   109.6"
"4759 Winkels overige huishoudartikelen";"2010 mei";"   112.1";"   112.2"
"4759 Winkels overige huishoudartikelen";"2010 juni";"   107.7";"   107.6"
"4759 Winkels overige huishoudartikelen";"2010 juli";"   113.3";"   113.6"
"4759 Winkels overige huishoudartikelen";"2010 augustus";"   109.7";"   109.7"
"4759 Winkels overige huishoudartikelen";"2010 september";"   110.6";"   110.6"
"4759 Winkels overige huishoudartikelen";"2010 oktober";"   121.0";"   120.3"
"4759 Winkels overige huishoudartikelen";"2010 november";"   122.7";"   122.1"
"4759 Winkels overige huishoudartikelen";"2010 december";"   133.8";"   133.2"
"4759 Winkels overige huishoudartikelen";"2011 januari";"   110.5";"   110.3"
"4759 Winkels overige huishoudartikelen";"2011 februari";"   103.3";"   102.5"
"4759 Winkels overige huishoudartikelen";"2011 maart";"   113.2";"   111.9"
"4759 Winkels overige huishoudartikelen";"2011 april";"   108.1";"   106.4"
"4759 Winkels overige huishoudartikelen";"2011 mei";"   107.4";"   106.0"
"4759 Winkels overige huishoudartikelen";"2011 juni";"   105.7";"   104.6"
"4759 Winkels overige huishoudartikelen";"2011 juli";"   112.0";"   111.2"
"4759 Winkels overige huishoudartikelen";"2011 augustus";"   109.0";"   108.3"
"4759 Winkels overige huishoudartikelen";"2011 september";"   106.0";"   104.7"
"4759 Winkels overige huishoudartikelen";"2011 oktober";"   113.6";"   112.3"
"4759 Winkels overige huishoudartikelen";"2011 november";"   118.4";"   116.5"
"4759 Winkels overige huishoudartikelen";"2011 december";"   134.3";"   132.1"
"4759 Winkels overige huishoudartikelen";"2012 januari";"   109.5";"   108.3"
"4759 Winkels overige huishoudartikelen";"2012 februari";"    97.6";"    96.2"
"4759 Winkels overige huishoudartikelen";"2012 maart";"   107.7";"   105.8"
"4759 Winkels overige huishoudartikelen";"2012 april";"    98.8";"    97.3"
"4759 Winkels overige huishoudartikelen";"2012 mei";"   104.2";"   101.9"
"4759 Winkels overige huishoudartikelen";"2012 juni";"   103.5";"   101.4"
"4759 Winkels overige huishoudartikelen";"2012 juli";"   102.1";"   100.5"
"4759 Winkels overige huishoudartikelen";"2012 augustus";"    99.0";"    97.2"
"4759 Winkels overige huishoudartikelen";"2012 september";"   101.4";"    99.1"
"4759 Winkels overige huishoudartikelen";"2012 oktober";"   106.4";"   104.9"
"4759 Winkels overige huishoudartikelen";"2012 november";"   108.2";"   106.0"
"4759 Winkels overige huishoudartikelen";"2012 december";"   117.1";"   115.0"
"4759 Winkels overige huishoudartikelen";"2013 januari";"   100.9";"    99.6"
"4759 Winkels overige huishoudartikelen";"2013 februari";"    90.2";"    89.2"
"4759 Winkels overige huishoudartikelen";"2013 maart";"    97.5";"    96.3"
"4759 Winkels overige huishoudartikelen";"2013 april";"    93.4";"    92.4"
"4759 Winkels overige huishoudartikelen";"2013 mei";"    98.7";"    97.5"
"4759 Winkels overige huishoudartikelen";"2013 juni";"    92.5";"    91.3"
"4759 Winkels overige huishoudartikelen";"2013 juli";"    94.1";"    93.5"
"4759 Winkels overige huishoudartikelen";"2013 augustus";"    96.9";"    96.6"
"4759 Winkels overige huishoudartikelen";"2013 september";"    89.0";"    88.5"
"4759 Winkels overige huishoudartikelen";"2013  oktober";"   102.3";"   102.0"
"4759 Winkels overige huishoudartikelen";"2013  november";"   103.9";"   103.5"
"4759 Winkels overige huishoudartikelen";"2013 december ";"   111.9";"   111.7"
"4759 Winkels overige huishoudartikelen";"2014 januari";"   100.8";"   100.8"
"4759 Winkels overige huishoudartikelen";"2014 februari";"    87.7";"    87.9"
"4759 Winkels overige huishoudartikelen";"2014 maart";"    93.8";"    93.4"
"4759 Winkels overige huishoudartikelen";"2014 april";"    92.5";"    91.9"
"4759 Winkels overige huishoudartikelen";"2014 mei";"    97.4";"    97.0"
"4759 Winkels overige huishoudartikelen";"2014 juni";"    87.3";"    87.2"
"4759 Winkels overige huishoudartikelen";"2014 juli";"    93.2";"    93.7"
"4759 Winkels overige huishoudartikelen";"2014 augustus";"    98.8";"   100.1"
"4759 Winkels overige huishoudartikelen";"2014 september";"    89.2";"    90.3"
"4759 Winkels overige huishoudartikelen";"2014 oktober";"   102.9";"   104.1"
"4759 Winkels overige huishoudartikelen";"2014 november";"   104.6";"   105.8"
"4759 Winkels overige huishoudartikelen";"2014 december";"   115.4";"   116.8"
"4759 Winkels overige huishoudartikelen";"2015 januari";"   102.2";"   104.0"
"4759 Winkels overige huishoudartikelen";"2015 februari";"    89.9";"    91.0"
"4759 Winkels overige huishoudartikelen";"2015 maart";"    98.1";"    98.9"
"4759 Winkels overige huishoudartikelen";"2015 april";"    95.6";"    95.4"
"4759 Winkels overige huishoudartikelen";"2015 mei";"    98.4";"    98.3"
"4759 Winkels overige huishoudartikelen";"2015 juni";"    95.0";"    94.7"
"4759 Winkels overige huishoudartikelen";"2015 juli";"   101.2";"   101.1"
"4759 Winkels overige huishoudartikelen";"2015 augustus";"    93.8";"    93.5"
"4759 Winkels overige huishoudartikelen";"2015 september";"    95.1";"    94.5"
"4759 Winkels overige huishoudartikelen";"2015 oktober";"   107.8";"   107.5"
"4759 Winkels overige huishoudartikelen";"2015 november";"   103.2";"   102.8"
"4759 Winkels overige huishoudartikelen";"2015 december";"   119.8";"   118.3"
"4759 Winkels overige huishoudartikelen";"2016 januari";"    98.8";"    98.4"
"4759 Winkels overige huishoudartikelen";"2016 februari";"    94.5";"    93.8"
"4759 Winkels overige huishoudartikelen";"2016 maart";"   104.0";"   102.9"
"4759 Winkels overige huishoudartikelen";"2016 april";"    99.6";"    97.6"
"4759 Winkels overige huishoudartikelen";"2016 mei";"    97.9";"    95.5"
"4759 Winkels overige huishoudartikelen";"2016 juni";"   101.1";"    99.1"
"4759 Winkels overige huishoudartikelen";"2016 juli";"    98.5";"    96.9"
"4759 Winkels overige huishoudartikelen";"2016 augustus";"    98.8";"    96.9"
"4759 Winkels overige huishoudartikelen";"2016 september";"    94.0";"    92.3"
"4759 Winkels overige huishoudartikelen";"2016 oktober";"   108.2";"   106.4"
"4759 Winkels overige huishoudartikelen";"2016 november";"   109.2";"   107.0"
"4759 Winkels overige huishoudartikelen";"2016 december";"   124.2";"   120.8"
"4759 Winkels overige huishoudartikelen";"2017 januari";"   103.0";"   100.9"
"4759 Winkels overige huishoudartikelen";"2017 februari";"    95.2";"    92.7"
"4759 Winkels overige huishoudartikelen";"2017 maart";"   108.4";"   105.4"
"4759 Winkels overige huishoudartikelen";"2017 april";"   101.4";"    98.7"
"4759 Winkels overige huishoudartikelen";"2017 mei";"   104.6";"   102.2"
"4759 Winkels overige huishoudartikelen";"2017 juni";"   102.3";"    99.7"
"4759 Winkels overige huishoudartikelen";"2017 juli";"   106.6";"   104.7"
"4759 Winkels overige huishoudartikelen";"2017 augustus";"   105.5";"   104.0"
"4759 Winkels overige huishoudartikelen";"2017 september";"   103.4";"   101.5"
"4759 Winkels overige huishoudartikelen";"2017 oktober";"   110.8";"   108.6"
"4759 Winkels overige huishoudartikelen";"2017 november";"   114.8";"   111.9"
"4759 Winkels overige huishoudartikelen";"2017 december";"   120.6";"   117.3"
"4759 Winkels overige huishoudartikelen";"2018 januari";"   108.0";"   105.7"
"4759 Winkels overige huishoudartikelen";"2018 februari";"    95.8";"    92.0"
"4759 Winkels overige huishoudartikelen";"2018 maart";"   111.7";"   107.4"
"4759 Winkels overige huishoudartikelen";"2018 april";"   100.2";"    96.1"
"4759 Winkels overige huishoudartikelen";"2018 mei";"   103.4";"    99.3"
"4759 Winkels overige huishoudartikelen";"2018 juni";"   101.7";"    97.4"
"4759 Winkels overige huishoudartikelen";"2018 juli";"    99.6";"    96.5"
"4759 Winkels overige huishoudartikelen";"2018 augustus";"   103.4";"   100.4"
"4759 Winkels overige huishoudartikelen";"2018 september";"    98.9";"    96.2"
"4759 Winkels overige huishoudartikelen";"2018 oktober";"   111.6";"   107.6"
"4759 Winkels overige huishoudartikelen";"2018 november";"   115.6";"   111.3"
"4759 Winkels overige huishoudartikelen";"2018 december";"   119.1";"   114.8"
"4759 Winkels overige huishoudartikelen";"2019 januari";"   109.0";"   105.5"
"4759 Winkels overige huishoudartikelen";"2019 februari";"   101.2";"    96.8"
"4759 Winkels overige huishoudartikelen";"2019 maart";"   113.0";"   107.7"
"4759 Winkels overige huishoudartikelen";"2019 april";"   107.9";"   103.1"
"4759 Winkels overige huishoudartikelen";"2019 mei";"   113.9";"   109.2"
"4759 Winkels overige huishoudartikelen";"2019 juni";"   104.2";"   100.5"
"4759 Winkels overige huishoudartikelen";"2019 juli";"   109.3";"   104.8"
"4759 Winkels overige huishoudartikelen";"2019 augustus";"   109.5";"   104.8"
"4759 Winkels overige huishoudartikelen";"2019 september";"   102.5";"    99.0"
"4759 Winkels overige huishoudartikelen";"2019 oktober";"   119.2";"   114.9"
"4759 Winkels overige huishoudartikelen";"2019 november";"   118.0";"   113.5"
"4759 Winkels overige huishoudartikelen";"2019 december";"   124.5";"   119.3"
"4759 Winkels overige huishoudartikelen";"2020 januari*";"   112.4";"   109.4"
"4759 Winkels overige huishoudartikelen";"2020 februari*";"   109.5";"   105.0"
"4759 Winkels overige huishoudartikelen";"2020 maart*";"   103.9";"    99.7"
"4759 Winkels overige huishoudartikelen";"2020 april*";"   102.2";"    97.8"
"4759 Winkels overige huishoudartikelen";"2020 mei*";"   122.5";"   115.9"
"4759 Winkels overige huishoudartikelen";"2020 juni*";"   131.3";"   124.4"
"4759 Winkels overige huishoudartikelen";"2020 juli*";"   133.5";"   126.5"
"4759 Winkels overige huishoudartikelen";"2020 augustus*";"   119.0";"   112.4"
"4759 Winkels overige huishoudartikelen";"2020 september*";"   123.1";"   116.8"
"4759 Winkels overige huishoudartikelen";"2020 oktober*";"   132.7";"   126.1"
"4759 Winkels overige huishoudartikelen";"2020 november*";"   127.8";"   121.1"
"4759 Winkels overige huishoudartikelen";"2020 december*";"   110.4";"   103.6"
"4759 Winkels overige huishoudartikelen";"2021 januari*";"    63.6";"    59.2"
"4759 Winkels overige huishoudartikelen";"2021 februari*";"    72.3";"    67.3"
"4759 Winkels overige huishoudartikelen";"2021 maart*";"   109.5";"   101.4"
"476 Winkels in recreatieartikelen";"2005 januari";"    99.4";"   102.5"
"476 Winkels in recreatieartikelen";"2005 februari";"    94.5";"    96.8"
"476 Winkels in recreatieartikelen";"2005 maart";"   111.8";"   114.0"
"476 Winkels in recreatieartikelen";"2005 april";"   119.1";"   122.1"
"476 Winkels in recreatieartikelen";"2005 mei";"   117.9";"   121.5"
"476 Winkels in recreatieartikelen";"2005 juni";"   132.2";"   137.6"
"476 Winkels in recreatieartikelen";"2005 juli";"   135.5";"   143.1"
"476 Winkels in recreatieartikelen";"2005 augustus";"   133.4";"   139.9"
"476 Winkels in recreatieartikelen";"2005 september";"   125.1";"   128.7"
"476 Winkels in recreatieartikelen";"2005 oktober";"   116.9";"   119.5"
"476 Winkels in recreatieartikelen";"2005 november";"   138.7";"   140.0"
"476 Winkels in recreatieartikelen";"2005 december";"   154.2";"   157.5"
"476 Winkels in recreatieartikelen";"2006 januari";"   105.4";"   110.8"
"476 Winkels in recreatieartikelen";"2006 februari";"   103.1";"   107.6"
"476 Winkels in recreatieartikelen";"2006 maart";"   119.0";"   122.9"
"476 Winkels in recreatieartikelen";"2006 april";"   125.0";"   129.8"
"476 Winkels in recreatieartikelen";"2006 mei";"   134.5";"   139.5"
"476 Winkels in recreatieartikelen";"2006 juni";"   140.4";"   147.4"
"476 Winkels in recreatieartikelen";"2006 juli";"   148.6";"   159.0"
"476 Winkels in recreatieartikelen";"2006 augustus";"   146.2";"   153.5"
"476 Winkels in recreatieartikelen";"2006 september";"   131.6";"   135.7"
"476 Winkels in recreatieartikelen";"2006 oktober";"   123.7";"   127.0"
"476 Winkels in recreatieartikelen";"2006 november";"   149.6";"   152.6"
"476 Winkels in recreatieartikelen";"2006 december";"   161.2";"   165.6"
